function,dimension,alpha,g,noise_model,noise_std,seed,final_best_observed,final_best_latent,final_observed_gap,final_simple_regret
zakharov,5,1.0,2,gaussian,2.0,2,-25.06183186707054,-25.237252303887203,25.06183186707054,25.237252303887203
zakharov,5,1.0,2,gaussian,2.0,3,-30.526494300966615,-31.672389210484784,30.526494300966615,31.672389210484784
zakharov,5,1.0,2,gaussian,2.0,4,-27.833193674645706,-26.02231740117678,27.833193674645706,26.02231740117678
zakharov,5,hw,0,gaussian,2.0,0,-95.76384381239663,-95.35670246944967,95.76384381239663,95.35670246944967
zakharov,5,hw,0,gaussian,2.0,1,-13.594376311882185,-14.187115655442037,13.594376311882185,14.187115655442037
zakharov,5,hw,0,gaussian,2.0,2,-23.152440086982097,-25.03971182173784,23.152440086982097,25.03971182173784
zakharov,5,hw,0,gaussian,2.0,3,-59.48665313956338,-57.47799309796136,59.48665313956338,57.47799309796136
zakharov,5,hw,0,gaussian,2.0,4,-62.46445038693266,-66.7404609719011,62.46445038693266,66.7404609719011
zakharov,5,hw,1,gaussian,2.0,0,-85.31189511797864,-85.87174431606512,85.31189511797864,85.87174431606512
zakharov,5,hw,1,gaussian,2.0,1,-43.737888599269745,-44.3306279428296,43.737888599269745,44.3306279428296
zakharov,5,hw,1,gaussian,2.0,2,-25.06183186707054,-25.237252303887203,25.06183186707054,25.237252303887203
zakharov,5,hw,1,gaussian,2.0,3,-29.134805290008284,-26.4076290013956,29.134805290008284,26.4076290013956
zakharov,5,hw,1,gaussian,2.0,4,-68.5799154572939,-69.44045811981081,68.5799154572939,69.44045811981081
zakharov,5,hw,2,gaussian,2.0,0,-68.29969847857011,-70.57849984765672,68.29969847857011,70.57849984765672
zakharov,5,hw,2,gaussian,2.0,1,-50.65484510898924,-49.45813019299585,50.65484510898924,49.45813019299585
zakharov,5,hw,2,gaussian,2.0,2,-25.06183186707054,-25.237252303887203,25.06183186707054,25.237252303887203
zakharov,5,hw,2,gaussian,2.0,3,-39.30382555324464,-40.44972046276281,39.30382555324464,40.44972046276281
zakharov,5,hw,2,gaussian,2.0,4,-27.833193674645706,-26.02231740117678,27.833193674645706,26.02231740117678
griewank,5,1.0,0,gaussian,2.0,0,4.616571851356053,-1.6629557140191076,-4.616571851356053,1.6629557140191076
griewank,5,1.0,0,gaussian,2.0,1,0.004095632237332225,-1.855568667165265,-0.004095632237332225,1.855568667165265
griewank,5,1.0,0,gaussian,2.0,2,-0.09746108326439362,-2.2714230243270084,0.09746108326439362,2.2714230243270084
griewank,5,1.0,0,gaussian,2.0,3,1.387951517674939,-1.5363977490002982,-1.387951517674939,1.5363977490002982
griewank,5,1.0,0,gaussian,2.0,4,2.1297773649184384,-1.607042002630132,-2.1297773649184384,1.607042002630132
griewank,5,1.0,1,gaussian,2.0,0,2.439629747094068,-0.6383715620211458,-2.439629747094068,0.6383715620211458
griewank,5,1.0,1,gaussian,2.0,1,1.8279581675306276,-1.1060860859228094,-1.8279581675306276,1.1060860859228094
griewank,5,1.0,1,gaussian,2.0,2,0.4057367810281971,-1.4406955164632431,-0.4057367810281971,1.4406955164632431
griewank,5,1.0,1,gaussian,2.0,3,1.105818979431987,-1.2501703600302887,-1.105818979431987,1.2501703600302887
griewank,5,1.0,1,gaussian,2.0,4,-1.0289710890776353,-1.4170254112608351,1.0289710890776353,1.4170254112608351
griewank,5,1.0,2,gaussian,2.0,0,-1.8380719229110103,-1.8353018374408188,1.8380719229110103,1.8353018374408188
griewank,5,1.0,2,gaussian,2.0,1,-0.2703473388577593,-2.9519321617831613,0.2703473388577593,2.9519321617831613
griewank,5,1.0,2,gaussian,2.0,2,1.1700134180613766,-1.6302967506887975,-1.1700134180613766,1.6302967506887975
griewank,5,1.0,2,gaussian,2.0,3,0.2142419735469625,-2.009973378056061,-0.2142419735469625,2.009973378056061
griewank,5,1.0,2,gaussian,2.0,4,-1.6787344647198683,-1.524138661134084,1.6787344647198683,1.524138661134084
griewank,5,hw,0,gaussian,2.0,0,4.791637606880463,-1.2097583568767436,-4.791637606880463,1.2097583568767436
griewank,5,hw,0,gaussian,2.0,1,-1.9324356357141745,-3.67904460538662,1.9324356357141745,3.67904460538662
