function,dimension,alpha,g,noise_model,noise_std,seed,final_best_observed,final_best_latent,final_observed_gap,final_simple_regret
rastrigin,10,1.0,1,student_t,2.0,2,-45.310005324664886,-45.34352470739033,45.310005324664886,45.34352470739033
rastrigin,10,1.0,1,student_t,2.0,3,-48.84964291519388,-50.40787421986625,48.84964291519388,50.40787421986625
rastrigin,10,1.0,1,student_t,2.0,4,-26.323850520501253,-25.493614738002876,26.323850520501253,25.493614738002876
rastrigin,10,1.0,2,student_t,2.0,0,-35.18122444165977,-37.075581617612606,35.18122444165977,37.075581617612606
rastrigin,10,1.0,2,student_t,2.0,1,-68.45577070432233,-67.67970957010573,68.45577070432233,67.67970957010573
rastrigin,10,1.0,2,student_t,2.0,2,-61.7189575285719,-56.695056948947745,61.7189575285719,56.695056948947745
rastrigin,10,1.0,2,student_t,2.0,3,-57.51133770411431,-58.9714324144459,57.51133770411431,58.9714324144459
rastrigin,10,1.0,2,student_t,2.0,4,-69.98037297303127,-68.68441827108944,69.98037297303127,68.68441827108944
rastrigin,10,hw,0,student_t,2.0,0,-77.44323427544123,-82.70026994480054,77.44323427544123,82.70026994480054
rastrigin,10,hw,0,student_t,2.0,1,-89.62011760814688,-91.13670521640205,89.62011760814688,91.13670521640205
rastrigin,10,hw,0,student_t,2.0,2,-90.0535958939361,-89.33112857332773,90.0535958939361,89.33112857332773
rastrigin,10,hw,0,student_t,2.0,3,-64.66146361668214,-66.3518441115964,64.66146361668214,66.3518441115964
rastrigin,10,hw,0,student_t,2.0,4,-59.57929854294327,-59.8126204974754,59.57929854294327,59.8126204974754
rastrigin,10,hw,1,student_t,2.0,0,-38.426043708502526,-42.18544686001415,38.426043708502526,42.18544686001415
rastrigin,10,hw,1,student_t,2.0,1,-19.97296156899619,-22.34803041802975,19.97296156899619,22.34803041802975
rastrigin,10,hw,1,student_t,2.0,2,-48.44253110742644,-50.87923501533751,48.44253110742644,50.87923501533751
rastrigin,10,hw,1,student_t,2.0,3,-60.086609859459465,-58.262953031043445,60.086609859459465,58.262953031043445
rastrigin,10,hw,1,student_t,2.0,4,-30.016456993597274,-31.123983626642953,30.016456993597274,31.123983626642953
rastrigin,10,hw,2,student_t,2.0,0,-32.74852042496271,-32.432486356301354,32.74852042496271,32.432486356301354
rastrigin,10,hw,2,student_t,2.0,1,-52.233335264077844,-51.88178680076427,52.233335264077844,51.88178680076427
rastrigin,10,hw,2,student_t,2.0,2,-56.65333879139684,-57.37122382785232,56.65333879139684,57.37122382785232
rastrigin,10,hw,2,student_t,2.0,3,-53.28024478784083,-54.87357339157825,53.28024478784083,54.87357339157825
rastrigin,10,hw,2,student_t,2.0,4,-29.104745754500385,-28.298352228599114,29.104745754500385,28.298352228599114
schwefel,10,1.0,0,student_t,2.0,0,-2428.518464784048,-2429.4478618410076,2428.518464784048,2429.4478618410076
schwefel,10,1.0,0,student_t,2.0,1,-2359.796952820238,-2361.6462560055043,2359.796952820238,2361.6462560055043
schwefel,10,1.0,0,student_t,2.0,2,-1931.3350975122055,-1930.705915477205,1931.3350975122055,1930.705915477205
schwefel,10,1.0,0,student_t,2.0,3,-2829.2372443064974,-2828.6887400921396,2829.2372443064974,2828.6887400921396
schwefel,10,1.0,0,student_t,2.0,4,-1914.543740916635,-1913.233641538705,1914.543740916635,1913.233641538705
schwefel,10,1.0,1,student_t,2.0,0,-1709.8403011664675,-1710.0285784243779,1709.8403011664675,1710.0285784243779
schwefel,10,1.0,1,student_t,2.0,1,-1979.9899394067315,-1979.416857724029,1979.9899394067315,1979.416857724029
schwefel,10,1.0,1,student_t,2.0,2,-2481.515643837248,-2480.886461802247,2481.515643837248,2480.886461802247
schwefel,10,1.0,1,student_t,2.0,3,-1515.002277342329,-1515.5565818074729,1515.002277342329,1515.5565818074729
schwefel,10,1.0,1,student_t,2.0,4,-1954.4972978541944,-1955.3044399978703,1954.4972978541944,1955.3044399978703
schwefel,10,1.0,2,student_t,2.0,0,-1983.069213029096,-1984.5449008459218,1983.069213029096,1984.5449008459218
schwefel,10,1.0,2,student_t,2.0,1,-1452.99053559307,-1454.0608906066163,1452.99053559307,1454.0608906066163
schwefel,10,1.0,2,student_t,2.0,2,-1409.948165830285,-1406.3048465962984,1409.948165830285,1406.3048465962984
schwefel,10,1.0,2,student_t,2.0,3,-1558.0344973586064,-1555.0473710491328,1558.0344973586064,1555.0473710491328
schwefel,10,1.0,2,student_t,2.0,4,-2136.501715356186,-2135.731372757415,2136.501715356186,2135.731372757415
schwefel,10,hw,0,student_t,2.0,0,-2292.246560086512,-2290.8538994925907,2292.246560086512,2290.8538994925907
schwefel,10,hw,0,student_t,2.0,1,-2094.9242788874667,-2095.0087310216486,2094.9242788874667,2095.0087310216486
schwefel,10,hw,0,student_t,2.0,2,-2230.0726948537235,-2229.3765731664007,2230.0726948537235,2229.3765731664007
schwefel,10,hw,0,student_t,2.0,3,-2746.642530203158,-2746.0940259888002,2746.642530203158,2746.0940259888002
schwefel,10,hw,0,student_t,2.0,4,-2377.8726698063547,-2383.937414686082,2377.8726698063547,2383.937414686082
schwefel,10,hw,1,student_t,2.0,0,-1863.095282511267,-1864.1917769853408,1863.095282511267,1864.1917769853408
schwefel,10,hw,1,student_t,2.0,1,-1982.2973706203823,-1984.1466738056488,1982.2973706203823,1984.1466738056488
schwefel,10,hw,1,student_t,2.0,2,-2513.2191721341424,-2511.525931178271,2513.2191721341424,2511.525931178271
schwefel,10,hw,1,student_t,2.0,3,-1593.011032376993,-1594.55184445634,1593.011032376993,1594.55184445634
schwefel,10,hw,1,student_t,2.0,4,-1880.1853940700908,-1880.6027684107444,1880.1853940700908,1880.6027684107444
schwefel,10,hw,2,student_t,2.0,0,-1788.6217261826641,-1788.534427427875,1788.6217261826641,1788.534427427875
schwefel,10,hw,2,student_t,2.0,1,-1825.519046853746,-1821.3503657457136,1825.519046853746,1821.3503657457136
schwefel,10,hw,2,student_t,2.0,2,-1931.5783422405302,-1936.039466385338,1931.5783422405302,1936.039466385338
schwefel,10,hw,2,student_t,2.0,3,-1503.9900519926455,-1504.88036603814,1503.9900519926455,1504.88036603814
schwefel,10,hw,2,student_t,2.0,4,-1580.7096362472093,-1579.9392936484383,1580.7096362472093,1579.9392936484383
levy,10,1.0,0,student_t,2.0,0,-4.871651721157338,-12.363945909950672,4.871651721157338,12.363945909950672
levy,10,1.0,0,student_t,2.0,1,-21.082691012269567,-23.207334931933882,21.082691012269567,23.207334931933882
levy,10,1.0,0,student_t,2.0,2,-9.819091548349688,-16.215699946616873,9.819091548349688,16.215699946616873
levy,10,1.0,0,student_t,2.0,3,-4.5840955628946,-6.143598022762898,4.5840955628946,6.143598022762898
levy,10,1.0,0,student_t,2.0,4,-25.1843425132866,-26.199296339086573,25.1843425132866,26.199296339086573
levy,10,1.0,1,student_t,2.0,0,-1.945948381793989,-2.2735820312744917,1.945948381793989,2.2735820312744917
levy,10,1.0,1,student_t,2.0,1,-2.7467779527258926,-2.029156977112225,2.7467779527258926,2.029156977112225
levy,10,1.0,1,student_t,2.0,2,-5.717258892243672,-5.088076857243175,5.717258892243672,5.088076857243175
levy,10,1.0,1,student_t,2.0,3,-2.334131515707111,-4.024512010621376,2.334131515707111,4.024512010621376
levy,10,1.0,1,student_t,2.0,4,-0.14578756782506352,-1.253314200870745,0.14578756782506352,1.253314200870745
levy,10,1.0,2,student_t,2.0,0,0.9076990160857035,-4.4332524235666355,-0.9076990160857035,4.4332524235666355
levy,10,1.0,2,student_t,2.0,1,-12.609856166268603,-13.42877112544442,12.609856166268603,13.42877112544442
levy,10,1.0,2,student_t,2.0,2,-6.99097325208804,-7.708858288543519,6.99097325208804,7.708858288543519
levy,10,1.0,2,student_t,2.0,3,-6.0779682833991755,-6.785926889913406,6.0779682833991755,6.785926889913406
levy,10,1.0,2,student_t,2.0,4,-1.6615299534540102,-2.5523807977724604,1.6615299534540102,2.5523807977724604
levy,10,hw,0,student_t,2.0,0,-12.069366584939889,-13.79107959223531,12.069366584939889,13.79107959223531
levy,10,hw,0,student_t,2.0,1,-17.601493329954504,-19.35425393430951,17.601493329954504,19.35425393430951
levy,10,hw,0,student_t,2.0,2,-15.801820355415899,-17.207781080812726,15.801820355415899,17.207781080812726
levy,10,hw,0,student_t,2.0,3,-4.9835841055713495,-6.941416261887422,4.9835841055713495,6.941416261887422
levy,10,hw,0,student_t,2.0,4,-11.050443215521968,-13.154855338022282,11.050443215521968,13.154855338022282
levy,10,hw,1,student_t,2.0,0,4.259011224602794,-2.2818179390414604,-4.259011224602794,2.2818179390414604
levy,10,hw,1,student_t,2.0,1,-6.569828981259598,-5.695863368013517,6.569828981259598,5.695863368013517
levy,10,hw,1,student_t,2.0,2,3.1009787904991906,-3.403452614067087,-3.1009787904991906,3.403452614067087
levy,10,hw,1,student_t,2.0,3,0.3021366066706497,-1.417574190773765,-0.3021366066706497,1.417574190773765
levy,10,hw,1,student_t,2.0,4,-2.0745618288027052,-1.360113228189681,2.0745618288027052,1.360113228189681
levy,10,hw,2,student_t,2.0,0,2.35591743291025,-0.7863824531167612,-2.35591743291025,0.7863824531167612
levy,10,hw,2,student_t,2.0,1,-4.598854345452049,-4.1194146922977755,4.598854345452049,4.1194146922977755
levy,10,hw,2,student_t,2.0,2,-10.592886374161942,-7.346757150671167,10.592886374161942,7.346757150671167
levy,10,hw,2,student_t,2.0,3,-5.886382754091084,-6.56693459797667,5.886382754091084,6.56693459797667
levy,10,hw,2,student_t,2.0,4,-3.8073687665249043,-2.5114140645830836,3.8073687665249043,2.5114140645830836
zakharov,10,1.0,0,student_t,2.0,0,-336.1325395618334,-336.2847143677606,336.1325395618334,336.2847143677606
zakharov,10,1.0,0,student_t,2.0,1,-44.99464965917407,-44.64825999070498,44.99464965917407,44.64825999070498
zakharov,10,1.0,0,student_t,2.0,2,-125.49587083973006,-122.79568025609767,125.49587083973006,122.79568025609767
zakharov,10,1.0,0,student_t,2.0,3,-67.53194124444445,-69.17362989752233,67.53194124444445,69.17362989752233
zakharov,10,1.0,0,student_t,2.0,4,-56.734773985317055,-60.95490648830204,56.734773985317055,60.95490648830204
zakharov,10,1.0,1,student_t,2.0,0,-117.98793030746305,-125.81801798803333,117.98793030746305,125.81801798803333
zakharov,10,1.0,1,student_t,2.0,1,-227.20998236334478,-226.69034976973478,227.20998236334478,226.69034976973478
zakharov,10,1.0,1,student_t,2.0,2,-153.61576152816593,-154.08910227120543,153.61576152816593,154.08910227120543
