function,dimension,alpha,g,noise_model,noise_std,seed,final_best_observed,final_best_latent,final_observed_gap,final_simple_regret,batch,true_optimum_patch
hartmann4,4,1,2,heteroscedastic,2.0,4,5.99211860952836,2.7742710523808447,,0.36022308884036747,s03_batch3,3.134494141221212
hartmann4,4,hw,0,heteroscedastic,2.0,0,6.008912524698852,2.183612984225828,,0.9508811569953841,s03_batch3,3.134494141221212
hartmann4,4,hw,0,heteroscedastic,2.0,1,6.561979380842688,2.461751062607553,,0.6727430786136592,s03_batch3,3.134494141221212
hartmann4,4,hw,0,heteroscedastic,2.0,2,6.193995653402103,2.4579337863532005,,0.6765603548680117,s03_batch3,3.134494141221212
hartmann4,4,hw,0,heteroscedastic,2.0,3,5.625483417773887,2.165994410897844,,0.968499730323368,s03_batch3,3.134494141221212
hartmann4,4,hw,0,heteroscedastic,2.0,4,5.99211860952836,2.6450589486319065,,0.4894351925893057,s03_batch3,3.134494141221212
hartmann4,4,hw,1,heteroscedastic,2.0,0,6.008912524698852,2.952229521729853,,0.18226461949135908,s03_batch3,3.134494141221212
hartmann4,4,hw,1,heteroscedastic,2.0,1,5.604714892470518,1.973308779576076,,1.1611853616451362,s03_batch3,3.134494141221212
hartmann4,4,hw,1,heteroscedastic,2.0,2,6.193995653402103,2.4579337863532005,,0.6765603548680117,s03_batch3,3.134494141221212
hartmann4,4,hw,1,heteroscedastic,2.0,3,5.625483417773887,2.165994410897844,,0.968499730323368,s03_batch3,3.134494141221212
hartmann4,4,hw,1,heteroscedastic,2.0,4,5.99211860952836,3.017379605176195,,0.1171145360450172,s03_batch3,3.134494141221212
hartmann4,4,hw,2,heteroscedastic,2.0,0,6.008912524698852,2.4988693102149067,,0.6356248310063055,s03_batch3,3.134494141221212
hartmann4,4,hw,2,heteroscedastic,2.0,1,6.356306792735042,2.768349668868362,,0.36614447235284997,s03_batch3,3.134494141221212
hartmann4,4,hw,2,heteroscedastic,2.0,2,6.1327728513006985,2.4579337863532005,,0.6765603548680117,s03_batch3,3.134494141221212
hartmann4,4,hw,2,heteroscedastic,2.0,3,5.625483417773887,2.165994410897844,,0.968499730323368,s03_batch3,3.134494141221212
hartmann4,4,hw,2,heteroscedastic,2.0,4,5.99211860952836,2.8184873060822326,,0.31600683513897954,s03_batch3,3.134494141221212
hartmann6,6,1,0,heteroscedastic,2.0,0,5.565306272919583,2.310994306109782,,0.7314634317332644,s03_batch3,3.0424577378430464
hartmann6,6,1,0,heteroscedastic,2.0,1,5.814984978549278,2.7189928142822266,,0.3234649235608198,s03_batch3,3.0424577378430464
hartmann6,6,1,0,heteroscedastic,2.0,2,5.643397565717214,1.8697864158219972,,1.1726713220210492,s03_batch3,3.0424577378430464
hartmann6,6,1,0,heteroscedastic,2.0,3,6.471779956528204,2.0704117186615365,,0.9720460191815099,s03_batch3,3.0424577378430464
hartmann6,6,1,0,heteroscedastic,2.0,4,6.284753436325622,2.3081511287865477,,0.7343066090564987,s03_batch3,3.0424577378430464
hartmann6,6,1,1,heteroscedastic,2.0,0,5.565306272919583,2.310994306109782,,0.7314634317332644,s03_batch3,3.0424577378430464
hartmann6,6,1,1,heteroscedastic,2.0,1,5.814984978549278,2.7669449736910177,,0.27551276415202874,s03_batch3,3.0424577378430464
hartmann6,6,1,1,heteroscedastic,2.0,2,5.643397565717214,1.8697864158219972,,1.1726713220210492,s03_batch3,3.0424577378430464
hartmann6,6,1,1,heteroscedastic,2.0,3,6.471779956528204,2.0704117186615365,,0.9720460191815099,s03_batch3,3.0424577378430464
hartmann6,6,1,1,heteroscedastic,2.0,4,6.284753436325622,2.3081511287865477,,0.7343066090564987,s03_batch3,3.0424577378430464
hartmann6,6,1,2,heteroscedastic,2.0,0,5.565306272919583,2.310994306109782,,0.7314634317332644,s03_batch3,3.0424577378430464
hartmann6,6,1,2,heteroscedastic,2.0,1,5.814984978549278,2.7669449736910177,,0.27551276415202874,s03_batch3,3.0424577378430464
hartmann6,6,1,2,heteroscedastic,2.0,2,5.643397565717214,1.8697864158219972,,1.1726713220210492,s03_batch3,3.0424577378430464
hartmann6,6,1,2,heteroscedastic,2.0,3,6.471779956528204,2.0704117186615365,,0.9720460191815099,s03_batch3,3.0424577378430464
hartmann6,6,1,2,heteroscedastic,2.0,4,6.284753436325622,2.3081511287865477,,0.7343066090564987,s03_batch3,3.0424577378430464
hartmann6,6,hw,0,heteroscedastic,2.0,0,5.565306272919583,2.310994306109782,,0.7314634317332644,s03_batch3,3.0424577378430464
hartmann6,6,hw,0,heteroscedastic,2.0,1,5.814984978549278,2.7669449736910177,,0.27551276415202874,s03_batch3,3.0424577378430464
hartmann6,6,hw,0,heteroscedastic,2.0,2,5.643397565717214,1.8697864158219972,,1.1726713220210492,s03_batch3,3.0424577378430464
