function,dimension,alpha,g,noise_model,noise_std,seed,final_best_observed,final_best_latent,final_observed_gap,final_simple_regret,batch,true_optimum_patch
matyas,2,1,1,student_t,2.0,1,1.1580103462553093,-0.143198140161556,-1.1580103462553093,0.143198140161556,s02_batch2,
matyas,2,1,1,student_t,2.0,2,1.6996225827547429,-0.1460406403108745,-1.6996225827547429,0.1460406403108745,s02_batch2,
matyas,2,1,1,student_t,2.0,3,2.890862532482342,-0.0037708956061504,-2.890862532482342,0.0037708956061504,s02_batch2,
matyas,2,1,1,student_t,2.0,4,6.931698824930838,-0.0622626172656295,-6.931698824930838,0.0622626172656295,s02_batch2,
matyas,2,1,2,student_t,2.0,0,0.8918952876973187,-0.012309519241239,-0.8918952876973187,0.012309519241239,s02_batch2,
matyas,2,1,2,student_t,2.0,1,-0.4457044632676462,-0.5442848552462844,0.4457044632676462,0.5442848552462844,s02_batch2,
matyas,2,1,2,student_t,2.0,2,2.9705490713469267,-0.0018022004866467,-2.9705490713469267,0.0018022004866467,s02_batch2,
matyas,2,1,2,student_t,2.0,3,2.011775793693128,-0.0350323084099934,-2.011775793693128,0.0350323084099934,s02_batch2,
matyas,2,1,2,student_t,2.0,4,7.068841602432831,-0.0197525692607742,-7.068841602432831,0.0197525692607742,s02_batch2,
matyas,2,hw,0,student_t,2.0,0,4.491076022292298,-0.0760844511943105,-4.491076022292298,0.0760844511943105,s02_batch2,
matyas,2,hw,0,student_t,2.0,1,-0.5025432264611154,-1.9695799083685648,0.5025432264611154,1.9695799083685648,s02_batch2,
matyas,2,hw,0,student_t,2.0,2,2.458632931459684,-0.256111991127065,-2.458632931459684,0.256111991127065,s02_batch2,
matyas,2,hw,0,student_t,2.0,3,1.0122499370449662,-0.5236653179027142,-1.0122499370449662,0.5236653179027142,s02_batch2,
matyas,2,hw,0,student_t,2.0,4,7.087200514326932,-0.0191229488060922,-7.087200514326932,0.0191229488060922,s02_batch2,
matyas,2,hw,1,student_t,2.0,0,1.8289271669304168,-0.0562023046334573,-1.8289271669304168,0.0562023046334573,s02_batch2,
matyas,2,hw,1,student_t,2.0,1,0.1465001590187943,-0.135834758781028,-0.1465001590187943,0.135834758781028,s02_batch2,
matyas,2,hw,1,student_t,2.0,2,1.699661257207997,-0.1460406384075092,-1.699661257207997,0.1460406384075092,s02_batch2,
matyas,2,hw,1,student_t,2.0,3,2.396413186928889,-0.0013364568789328,-2.396413186928889,0.0013364568789328,s02_batch2,
matyas,2,hw,1,student_t,2.0,4,7.0362358849192495,-0.0690810719802019,-7.0362358849192495,0.0690810719802019,s02_batch2,
matyas,2,hw,2,student_t,2.0,0,0.2722793200567488,-0.0212128316747182,-0.2722793200567488,0.0212128316747182,s02_batch2,
matyas,2,hw,2,student_t,2.0,1,2.264929333438623,-0.079854276941377,-2.264929333438623,0.079854276941377,s02_batch2,
matyas,2,hw,2,student_t,2.0,2,1.3562451912935287,-0.0078238229957003,-1.3562451912935287,0.0078238229957003,s02_batch2,
matyas,2,hw,2,student_t,2.0,3,2.4874880852697894,-0.0058879377156236,-2.4874880852697894,0.0058879377156236,s02_batch2,
matyas,2,hw,2,student_t,2.0,4,1.940435062758956,-0.005989448794276,-1.940435062758956,0.005989448794276,s02_batch2,
mccormick,2,1,0,student_t,2.0,0,1.8925408841745133,-0.1207087813298615,-1.8925408841745133,0.1207087813298615,s02_batch2,
mccormick,2,1,0,student_t,2.0,1,2.3439825964823093,-0.0589362892937994,-2.3439825964823093,0.0589362892937994,s02_batch2,
mccormick,2,1,0,student_t,2.0,2,2.493013712152344,-0.3827011187029867,-2.493013712152344,0.3827011187029867,s02_batch2,
mccormick,2,1,0,student_t,2.0,3,2.266032343813321,-0.0961052179373289,-2.266032343813321,0.0961052179373289,s02_batch2,
mccormick,2,1,0,student_t,2.0,4,6.9583355029990255,-0.1501028636650045,-6.9583355029990255,0.1501028636650045,s02_batch2,
mccormick,2,1,1,student_t,2.0,0,1.7515091382841044,-0.0821440607877537,-1.7515091382841044,0.0821440607877537,s02_batch2,
mccormick,2,1,1,student_t,2.0,1,3.133667315881773,-0.0173767258892996,-3.133667315881773,0.0173767258892996,s02_batch2,
mccormick,2,1,1,student_t,2.0,2,0.879203204110989,-0.1289539809000681,-0.879203204110989,0.1289539809000681,s02_batch2,
mccormick,2,1,1,student_t,2.0,3,2.0163489579382547,-0.0961052179373289,-2.0163489579382547,0.0961052179373289,s02_batch2,
mccormick,2,1,1,student_t,2.0,4,6.410143623181762,-0.2942886536714073,-6.410143623181762,0.2942886536714073,s02_batch2,
mccormick,2,1,2,student_t,2.0,0,1.7059932620427196,-0.0435741553701338,-1.7059932620427196,0.0435741553701338,s02_batch2,
mccormick,2,1,2,student_t,2.0,1,2.406894171894874,-0.000289912217928,-2.406894171894874,0.000289912217928,s02_batch2,
mccormick,2,1,2,student_t,2.0,2,2.7925175595448994,-0.0152306432545807,-2.7925175595448994,0.0152306432545807,s02_batch2,
mccormick,2,1,2,student_t,2.0,3,0.8954624640216042,-0.0961052179373289,-0.8954624640216042,0.0961052179373289,s02_batch2,
mccormick,2,1,2,student_t,2.0,4,6.813158471326991,-0.1436039684691425,-6.813158471326991,0.1436039684691425,s02_batch2,
mccormick,2,hw,0,student_t,2.0,0,1.8925408841745133,-0.079011658914023,-1.8925408841745133,0.079011658914023,s02_batch2,
mccormick,2,hw,0,student_t,2.0,1,2.4386310911277524,-0.0049751737291987,-2.4386310911277524,0.0049751737291987,s02_batch2,
mccormick,2,hw,0,student_t,2.0,2,2.6552075958662167,-0.2388867995020522,-2.6552075958662167,0.2388867995020522,s02_batch2,
mccormick,2,hw,0,student_t,2.0,3,2.108007891312861,-0.0106470622109335,-2.108007891312861,0.0106470622109335,s02_batch2,
mccormick,2,hw,0,student_t,2.0,4,6.8882885995153975,-0.1703162304084264,-6.8882885995153975,0.1703162304084264,s02_batch2,
mccormick,2,hw,1,student_t,2.0,0,1.7660734092813033,-0.0637847843459546,-1.7660734092813033,0.0637847843459546,s02_batch2,
mccormick,2,hw,1,student_t,2.0,1,3.133667482528192,-0.0597975799540255,-3.133667482528192,0.0597975799540255,s02_batch2,
mccormick,2,hw,1,student_t,2.0,2,2.339406991548773,-0.1109716057172109,-2.339406991548773,0.1109716057172109,s02_batch2,
mccormick,2,hw,1,student_t,2.0,3,0.5083593953807288,-0.0961052179373289,-0.5083593953807288,0.0961052179373289,s02_batch2,
mccormick,2,hw,1,student_t,2.0,4,6.412707520244157,-0.2942878761000329,-6.412707520244157,0.2942878761000329,s02_batch2,
mccormick,2,hw,2,student_t,2.0,0,1.7340419217402492,-0.0312916786308805,-1.7340419217402492,0.0312916786308805,s02_batch2,
mccormick,2,hw,2,student_t,2.0,1,2.4068942031040965,-0.0029128771523321,-2.4068942031040965,0.0029128771523321,s02_batch2,
mccormick,2,hw,2,student_t,2.0,2,2.1172360624259,-0.0020242687412774,-2.1172360624259,0.0020242687412774,s02_batch2,
mccormick,2,hw,2,student_t,2.0,3,0.8954124863681734,-0.0961052179373289,-0.8954124863681734,0.0961052179373289,s02_batch2,
mccormick,2,hw,2,student_t,2.0,4,7.007009974551994,-0.1014283921120362,-7.007009974551994,0.1014283921120362,s02_batch2,
power_sum,4,1,0,student_t,2.0,0,1.973367492748024,-1.22493507956673,-1.973367492748024,1.22493507956673,s02_batch2,
power_sum,4,1,0,student_t,2.0,1,-10.187007541626922,-10.81018144315663,10.187007541626922,10.81018144315663,s02_batch2,
power_sum,4,1,0,student_t,2.0,2,-6.318430935194968,-8.244103083200637,6.318430935194968,8.244103083200637,s02_batch2,
power_sum,4,1,0,student_t,2.0,3,-4.829118443313111,-4.992974785753749,4.829118443313111,4.992974785753749,s02_batch2,
power_sum,4,1,0,student_t,2.0,4,-23.52706637311437,-24.485246745713024,23.52706637311437,24.485246745713024,s02_batch2,
power_sum,4,1,1,student_t,2.0,0,-5.327425146194066,-5.168752369109501,5.327425146194066,5.168752369109501,s02_batch2,
power_sum,4,1,1,student_t,2.0,1,-42.53926629734477,-41.53131059357828,42.53926629734477,41.53131059357828,s02_batch2,
power_sum,4,1,1,student_t,2.0,2,-18.52670774338505,-17.323979835137596,18.52670774338505,17.323979835137596,s02_batch2,
